,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
125,Sun Jan 07 03:15:48 +0000 2018,CBS,0.082,0.749,0.168,Jordan Foote,0.5093,26
126,Sun Jan 07 03:15:42 +0000 2018,CBS,0.0,0.939,0.061,Mandy,0.0772,27
127,Sun Jan 07 03:15:31 +0000 2018,CBS,0.0,0.936,0.064,🎀 Miracles Happen🎀,0.0772,28
128,Sun Jan 07 03:15:28 +0000 2018,CBS,0.0,1.0,0.0,비상 🌱,0.0,29
129,Sun Jan 07 03:15:19 +0000 2018,CBS,0.0,1.0,0.0,Southern Insider,0.0,30
130,Sun Jan 07 03:15:14 +0000 2018,CBS,0.118,0.882,0.0,Blue Bloods on CBS!,-0.1531,31
131,Sun Jan 07 03:15:09 +0000 2018,CBS,0.165,0.647,0.188,Kyle Griffin,0.2023,32
132,Sun Jan 07 03:15:02 +0000 2018,CBS,0.0,0.53,0.47,Darnell Kirkwood,0.7964,33
133,Sun Jan 07 03:15:01 +0000 2018,CBS,0.082,0.818,0.1,S.W.A.T.,0.128,34
134,Sun Jan 07 03:15:00 +0000 2018,CBS,0.095,0.905,0.0,Kyle Griffin,-0.296,35
135,Sun Jan 07 03:14:57 +0000 2018,CBS,0.0,0.878,0.122,Cait Fairbanks,0.3612,36
136,Sun Jan 07 03:14:55 +0000 2018,CBS,0.0,0.936,0.064,🎀 Miracles Happen🎀,0.0772,37
137,Sun Jan 07 03:14:47 +0000 2018,CBS,0.0,0.88,0.12,Chad Miller,0.3235,38
138,Sun Jan 07 03:14:38 +0000 2018,CBS,0.0,1.0,0.0,Herman Britton,0.0,39
139,Sun Jan 07 03:14:34 +0000 2018,CBS,0.0,0.833,0.167,Kyle Griffin,0.6369,40
140,Sun Jan 07 03:14:21 +0000 2018,CBS,0.0,1.0,0.0,Mr. PEC-Tacular™,0.0,41
141,Sun Jan 07 03:14:14 +0000 2018,CBS,0.0,0.843,0.157,Darnell Kirkwood,0.4215,42
142,Sun Jan 07 03:14:10 +0000 2018,CBS,0.642,0.358,0.0,"Ryan Knight, PROUD RESISTER 👊",-0.9826,43
143,Sun Jan 07 03:14:10 +0000 2018,CBS,0.0,0.778,0.222,matthew gray gubler,0.25,44
144,Sun Jan 07 03:14:07 +0000 2018,CBS,0.0,1.0,0.0,Star Trek: Discovery,0.0,45
145,Sun Jan 07 03:13:56 +0000 2018,CBS,0.134,0.477,0.389,LA to Vegas,0.8208,46
146,Sun Jan 07 03:13:52 +0000 2018,CBS,0.0,1.0,0.0,colin woods,0.0,47
147,Sun Jan 07 03:13:50 +0000 2018,CBS,0.102,0.722,0.176,Paula Chertok🗽,0.3878,48
148,Sun Jan 07 03:13:49 +0000 2018,CBS,0.214,0.587,0.199,Doug Jones,-0.126,49
149,Sun Jan 07 03:13:47 +0000 2018,CBS,0.117,0.777,0.107,Kevin Eastwood,-0.0516,50
150,Sun Jan 07 03:13:47 +0000 2018,CBS,0.0,1.0,0.0,비상 🌱,0.0,51
151,Sun Jan 07 03:13:39 +0000 2018,CBS,0.0,1.0,0.0,colin woods,0.0,52
152,Sun Jan 07 03:13:38 +0000 2018,CBS,0.0,1.0,0.0,Netflix US,0.0,53
153,Sun Jan 07 03:13:28 +0000 2018,CBS,0.0,1.0,0.0,Debby.Johnston,0.0,54
154,Sun Jan 07 03:13:23 +0000 2018,CBS,0.095,0.905,0.0,Kyle Griffin,-0.296,55
155,Sun Jan 07 03:13:15 +0000 2018,CBS,0.0,0.706,0.294,Kevin Eastwood,0.6124,56
156,Sun Jan 07 03:12:57 +0000 2018,CBS,0.165,0.647,0.188,Kyle Griffin,0.2023,57
157,Sun Jan 07 03:12:44 +0000 2018,CBS,0.0,1.0,0.0,Foodmancing,0.0,58
158,Sun Jan 07 03:12:44 +0000 2018,CBS,0.0,1.0,0.0,비상 🌱,0.0,59
159,Sun Jan 07 03:12:39 +0000 2018,CBS,0.0,1.0,0.0,Screen Rant,0.0,60
160,Sun Jan 07 03:12:33 +0000 2018,CBS,0.095,0.905,0.0,Kyle Griffin,-0.296,61
161,Sun Jan 07 03:12:24 +0000 2018,CBS,0.0,1.0,0.0,비상 🌱,0.0,62
162,Sun Jan 07 03:12:21 +0000 2018,CBS,0.0,1.0,0.0,Glenn Beck,0.0,63
163,Sun Jan 07 03:12:16 +0000 2018,CBS,0.0,1.0,0.0,SaturdayNiteHugeshow,0.0,64
164,Sun Jan 07 03:12:15 +0000 2018,CBS,0.0,1.0,0.0,비상 🌱,0.0,65
